Clave,Asignatura,Semestre,Creditos,Grupo,Turno,Profesor,Lun,Mar,Mie,Jue,Vie,Carrera
IIA203,Cálculo Multivariable,2,5.0,2BM2,M,LUCIO PEÑA PERLA CECILIA,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA204,"Ingeniería, Ética y Sociedad",2,3.0,2BM2,M,RODRIGUEZ ORDAZ MARISOL,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA205,Álgebra Lineal,2,5.0,2BM2,M,REYES BERMEJO TLATOANI DE JESUS,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA206,Finanzas Empresariales,2,4.0,2BM2,M,RAMIREZ GUZMAN ALICIA MARCELA,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA201,Algoritmos y Estructuras de Datos,2,6.0,2BV1,V,RAMIREZ ROMERO TONAHTIU ARTURO,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA202,Fundamentos de Diseño Digital,2,5.0,2BV1,V,BARRON VERA JOSUE EMANUEL,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA203,Cálculo Multivariable,2,5.0,2BV1,V,LEON HERNANDEZ MIGUEL ABEL,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA204,"Ingeniería, Ética y Sociedad",2,3.0,2BV1,V,MARTINEZ ACOSTA LILIAN,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA205,Álgebra Lineal,2,5.0,2BV1,V,RODRIGUEZ VILLARREAL JOSE GREGORIO,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA206,Finanzas Empresariales,2,4.0,2BV1,V,RAMOS PORRAS ALEJANDRA,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA201,Algoritmos y Estructuras de Datos,2,6.0,2BV2,V,JUÁREZ MÉNDEZ ANA BELEM,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA202,Fundamentos de Diseño Digital,2,5.0,2BV2,V,BARRALES LOPEZ ANA LUZ,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA203,Cálculo Multivariable,2,5.0,2BV2,V,DOMINGUEZ HERNANDEZ SAMUEL,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA204,"Ingeniería, Ética y Sociedad",2,3.0,2BV2,V,MARTINEZ ACOSTA LILIAN,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA205,Álgebra Lineal,2,5.0,2BV2,V,FLORES MERAZ YESICA SONIA,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA206,Finanzas Empresariales,2,4.0,2BV2,V,RAMOS PORRAS ALEJANDRA,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA301,Análisis y Diseño de Algoritmos,3,6.0,3BM1,M,DIAZ SANTIAGO SANDRA,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA302,Paradigmas de Programación,3,6.0,3BM1,M,SANCHEZ JUAREZ JOSE,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA303,Ecuaciones Diferenciales,3,5.0,3BM1,M,CARBALLO JIMENEZ JUAN MANUEL,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA304,Bases de Datos,3,6.0,3BM1,M,HERNANDEZ RUBIO ERIKA,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA305,Diseño de Sistemas Digitales,3,5.0,3BM1,M,TESTA NAVA ALEXIS,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA306,Liderazgo Personal,3,3.0,3BM1,M,GONZALEZ ALBARRAN GISELA,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA301,Análisis y Diseño de Algoritmos,3,6.0,3BM2,M,RODRIGUEZ CASTILLO MIGUEL ANGEL,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA302,Paradigmas de Programación,3,6.0,3BM2,M,CORTÉS DÁVALOS ANDRÉS,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA303,Ecuaciones Diferenciales,3,5.0,3BM2,M,CRUZ ROJAS JORGE ALBERTO,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA304,Bases de Datos,3,6.0,3BM2,M,HERNANDEZ RUBIO ERIKA,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA305,Diseño de Sistemas Digitales,3,5.0,3BM2,M,PEREZ PEREZ JOSE JUAN,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA306,Liderazgo Personal,3,3.0,3BM2,M,RAMIREZ MARTINEZ ELIA TZINDEJHE,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA301,Análisis y Diseño de Algoritmos,3,6.0,3BV1,V,JUÁREZ MÉNDEZ ANA BELEM,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA302,Paradigmas de Programación,3,6.0,3BV1,V,FLORES ESTRADA ITURIEL ENRIQUE,20:00-21:30,,20:00-21:30,20:00-21:30,,IA
IIA303,Ecuaciones Diferenciales,3,5.0,3BV1,V,LEAL PACHECO CHRISTIAN RENE,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA304,Bases de Datos,3,6.0,3BV1,V,HURTADO AVILÉS GABRIEL,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA305,Diseño de Sistemas Digitales,3,5.0,3BV1,V,LERMA MAGAÑA CARLOS,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA306,Liderazgo Personal,3,3.0,3BV1,V,SERRANO ROMERO CLAUDIA WENDY,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA301,Análisis y Diseño de Algoritmos,3,6.0,3BV2,V,SANCHEZ BRITO MIGUEL,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA302,Paradigmas de Programación,3,6.0,3BV2,V,GARCIA SALES JUAN VICENTE,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA303,Ecuaciones Diferenciales,3,5.0,3BV2,V,GONZALEZ CASTILLO JESUS ROBERTO,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA304,Bases de Datos,3,6.0,3BV2,V,CATALAN SALGADO EDGAR ARMANDO,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA305,Diseño de Sistemas Digitales,3,5.0,3BV2,V,BARRALES LOPEZ ANA LUZ,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA306,Liderazgo Personal,3,3.0,3BV2,V,SERRANO ROMERO CLAUDIA WENDY,18:30-20:00,,15:00-16:30,,18:30-20:00,IA
IIA401,Fundamentos de Inteligencia Artificial,4,6.0,4BM1,M,MORENO VEGA HUGO,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA402,Probabilidad y Estadística,4,5.0,4BM1,M,PACHUCA HERRERA YANIRA,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA403,Matemáticas Avanzadas para la Ingeniería,4,5.0,4BM1,M,LOPEZ CARRERA BENJAMIN,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA404,Tecnologías para el Desarrollo de Aplicaciones Web,4,5.0,4BM1,M,PEREDO VALDERRAMA RUBEN,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA405,Análisis y Diseño de Sistemas,4,5.0,4BM1,M,RIVERA DE LA ROSA MONICA,,12:00-13:30,,07:00-08:30,08:30-10:00,IA
IIA406,Procesamiento Digital de Imágenes,4,5.0,4BM1,M,CRUZ MEZA MARIA ELENA,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA401,Fundamentos de Inteligencia Artificial,4,6.0,4BM2,M,ROMÁN GODÍNEZ RODRIGO FRANCISCO,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA402,Probabilidad y Estadística,4,5.0,4BM2,M,RUIZ LEDESMA ELENA FABIOLA,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA403,Matemáticas Avanzadas para la Ingeniería,4,5.0,4BM2,M,VAZQUEZ ARREGUIN ROBERTO,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA404,Tecnologías para el Desarrollo de Aplicaciones Web,4,5.0,4BM2,M,ENRIQUEZ ZARATE Dr. JOSE ASUNCION,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA405,Análisis y Diseño de Sistemas,4,5.0,4BM2,M,RIVERA DE LA ROSA MONICA,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA406,Procesamiento Digital de Imágenes,4,5.0,4BM2,M,CRUZ MEZA MARIA ELENA,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA401,Fundamentos de Inteligencia Artificial,4,6.0,4BV1,V,CATALAN SALGADO EDGAR ARMANDO,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA402,Probabilidad y Estadística,4,5.0,4BV1,V,MONTIEL SANCHEZ ANGEL SALVADOR,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA403,Matemáticas Avanzadas para la Ingeniería,4,5.0,4BV1,V,MANZANILLA GRANADOS HECTOR MANUEL,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA404,Tecnologías para el Desarrollo de Aplicaciones Web,4,5.0,4BV1,V,ROSAS CARRILLO ARY SHARED,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA405,Análisis y Diseño de Sistemas,4,5.0,4BV1,V,VELEZ SALDAÑA ULISES,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA406,Procesamiento Digital de Imágenes,4,5.0,4BV1,V,DE LA O TORRES SAUL,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA501,Aprendizaje de Máquina,5,6.0,5BM1,M,REYES VERA ABDIEL,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA502,Visión Artificial,5,6.0,5BM1,M,SERRANO TALAMANTES J. FELIX,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA503,Teoría de la Computación,5,5.0,5BM1,M,LUNA BENOSO BENJAMIN,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA504,Procesamiento de Señales,5,5.0,5BM1,M,DIAZ TOALA IVAN,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA505,Algoritmos Bioinspirados,5,5.0,5BM1,M,URIARTE ARCIA ABRIL VALERIA,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA506,Tecnologías de Lenguaje Natural,5,5.0,5BM1,M,PORTILLO CEDILLO MANUEL,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA501,Aprendizaje de Máquina,5,6.0,5BM2,M,REYES VERA ABDIEL,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA502,Visión Artificial,5,6.0,5BM2,M,SERRANO TALAMANTES J. FELIX,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA503,Teoría de la Computación,5,5.0,5BM2,M,JUAREZ MARTINEZ GENARO,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA504,Procesamiento de Señales,5,5.0,5BM2,M,CASTILLO MARTÍNEZ MIGUEL ÁNGEL,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA505,Algoritmos Bioinspirados,5,5.0,5BM2,M,MORENO ARMENDARIZ MARCO ANTONIO,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA506,Tecnologías de Lenguaje Natural,5,5.0,5BM2,M,PORTILLO CEDILLO MANUEL,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA501,Aprendizaje de Máquina,5,6.0,5BV1,V,CAMACHO VAZQUEZ VANESSA ALEJANDRA,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA502,Visión Artificial,5,6.0,5BV1,V,RODRIGUEZ JORDAN GABRIEL DE JESUS,13:30-15:00,13:30-15:00,,13:30-15:00,,IA
IIA503,Teoría de la Computación,5,5.0,5BV1,V,HERNANDEZ OLVERA LUIS ENRIQUE,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA504,Procesamiento de Señales,5,5.0,5BV1,V,CASTILLO MARTÍNEZ MIGUEL ÁNGEL,15:00-16:30,15:00-16:30,,15:00-16:30,,IA
IIA505,Algoritmos Bioinspirados,5,5.0,5BV1,V,MOLINA PÉREZ DANIEL,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA506,Tecnologías de Lenguaje Natural,5,5.0,5BV1,V,FLORES ESTRADA ITURIEL ENRIQUE,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA601,Cómputo Paralelo,6,6.0,6BM1,M,GUTIERREZ ALDANA EDUARDO,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA602,Redes Neuronales y Aprendizaje Profundo,6,6.0,6BM1,M,GARCIA SALAS HORACIO ALBERTO,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA603,Ingeniería de Software para Sistemas Inteligentes,6,5.0,6BM1,M,CARRETO ARELLANO CHADWICK,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA604,Metodología de la Investigación y Divulgación Científica,6,4.0,6BM1,M,MARTINEZ ACOSTA LILIAN,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA605,Aplicaciones de Lenguaje Natural,6,5.0,6BM1,M,MORENO GALVAN ELIZABETH,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA606,Minería de Datos,6,5.0,6BM1,M,OCAMPO BOTELLO FABIOLA,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA607,Cómputo en la Nube,6,5.0,6BM1,M,VELAZQUEZ GARCIA OSCAR,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA601,Cómputo Paralelo,6,6.0,6BM2,M,IBAÑEZ ZAMORA LUIS ALBERTO,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA602,Redes Neuronales y Aprendizaje Profundo,6,6.0,6BM2,M,VASQUEZ GÓMEZ JUAN IRVING,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA603,Ingeniería de Software para Sistemas Inteligentes,6,5.0,6BM2,M,MALDONADO CASTILLO IDALIA,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA604,Metodología de la Investigación y Divulgación Científica,6,4.0,6BM2,M,SALDÍVAR ALMOREJO MARÍA MAGDALENA,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA608,Sistemas Multiagentes,6,5.0,6BM2,M,PORTILLO CEDILLO MANUEL,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA609,Interacción Humano-Máquina,6,5.0,6BM2,M,MALDONADO CASTILLO IDALIA,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA601,Cómputo Paralelo,6,6.0,6BV1,V,JIMENEZ BENITEZ JOSE ALFREDO,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA602,Redes Neuronales y Aprendizaje Profundo,6,6.0,6BV1,V,CAMACHO VAZQUEZ VANESSA ALEJANDRA,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA603,Ingeniería de Software para Sistemas Inteligentes,6,5.0,6BV1,V,BLANCO ALMAZAN IVAN EDUARDO,,18:30-20:00,18:30-20:00,,18:30-20:00,IA
IIA604,Metodología de la Investigación y Divulgación Científica,6,4.0,6BV1,V,WINFIELD REYES ANA MARIA,,16:30-18:00,20:00-21:30,18:30-20:00,,IA
IIA605,Propiedad Intelectual,6,5.0,6BV1,V,PAREDES CADENA MYRIAM NOEMI,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA606,Minería de Datos,6,5.0,6BV1,V,PEREZ RUIZ CARLOS,18:30-20:00,13:30-15:00,,13:30-15:00,,IA
IIA607,Programación de Dispositivos Móviles,6,5.0,6BV1,V,SANTOS VEGA DIANA,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA701,Reconocimiento de Voz,7,6.0,7BM1,M,CARMONA GARCIA ENRIQUE ALFONSO,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA702,Trabajo Terminal I,7,4.0,7BM1,M,ARAGON GARCIA MARIBEL,,12:00-13:30,,,12:00-13:30,IA
IIA702,Trabajo Terminal I,7,4.0,7BM1,M,GALICIA MEJIA RUBEN,,,07:00-08:30,08:30-10:00,IA
IIA702,Trabajo Terminal I,7,4.0,7BM1,M,RAMIREZ TENORIO RAFAEL,,07:00-08:30,07:00-08:30,,,IA
IIA703,Formulación y Evaluación de Proyectos Informáticos,7,4.0,7BM1,M,AGUSTIN DOMINGUEZ VERONICA,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA704,Temas Selectos de Inteligencia Artificial,7,5.0,7BM1,M,GARCIA SALAS HORACIO ALBERTO,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA705,Tópicos Selectos de Algoritmos Bioinspirados,7,5.0,7BM1,M,PESCADOR ROJAS MIRIAM,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA706,Aplicaciones de Sistemas Multiagentes,7,5.0,7BM1,M,FLORES LUNA ROBERTO,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA701,Reconocimiento de Voz,7,6.0,7BM2,M,CARMONA GARCIA ENRIQUE ALFONSO,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA702,Trabajo Terminal I,7,4.0,7BM2,M,RAMIREZ TENORIO RAFAEL,07:00-08:30,,,07:00-08:30,,IA
IIA703,Formulación y Evaluación de Proyectos Informáticos,7,4.0,7BM2,M,RODRIGUEZ ORDAZ MARISOL,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA704,Innovación y Emprendimiento Tecnológico,7,5.0,7BM2,M,MALDONADO MUÑOZ MIGUEL ANGEL,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA705,Aplicaciones de Inteligencia Artificial en Sistemas Embebidos,7,5.0,7BM2,M,CASTILLO MARTÍNEZ MIGUEL ÁNGEL,,12:00-13:30,13:30-15:00,,12:00-13:30,IA
IIA704,Big Data,7,5.0,7BM3,M,RODRIGUEZ SARABIA TANIA,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA701,Reconocimiento de Voz,7,6.0,7BV1,V,CARMONA GARCIA ENRIQUE ALFONSO,,15:00-16:30,15:00-16:30,,15:00-16:30,IA
IIA702,Trabajo Terminal I,7,4.0,7BV1,V,CRUZ GARCIA DANIEL,,12:00-13:30,13:30-15:00,,,IA
IIA702,Trabajo Terminal I,7,4.0,7BV1,V,MARTINEZ NUÑO JESUS ALFREDO,,20:00-21:30,,,20:00-21:30,IA
IIA702,Trabajo Terminal I,7,4.0,7BV1,V,PUEBLA LOMAS JAIME HUGO,,,18:30-20:00,,18:30-20:00,IA
IIA703,Formulación y Evaluación de Proyectos Informáticos,7,4.0,7BV1,V,SILVA SANCHEZ CARLOS,16:30-18:00,,16:30-18:00,16:30-18:00,,IA
IIA704,Big Data,7,5.0,7BV1,V,RANGEL NAHUM CARLOS ALEXIS,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA705,Técnicas de Programación para Robots Móviles,7,5.0,7BV1,V,ORTIZ CASTILLO MARCO ANTONIO,15:00-16:30,,,15:00-16:30,16:30-18:00,IA
IIA706,Aplicaciones de Sistemas Multiagentes,7,5.0,7BV1,V,RAMIREZ VEGA LUIS,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA801,Gestión Empresarial,8,5.0,8BM1,M,MALDONADO MUÑOZ MIGUEL ANGEL,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA802,Trabajo Terminal II,8,4.0,8BM1,M,AGUILAR GARCIA RAFAEL,10:30-12:00,,,10:30-12:00,,IA
IIA802,Trabajo Terminal II,8,4.0,8BM1,M,PAREDES CADENA MYRIAM NOEMI,,,,,10:30-12:00,IA
IIA803,Estancia Profesional,8,10.0,8BM1,M,COORDINACION ACADEMICA,,13:30-15:00,,,13:30-15:00,IA
IIA804,Desarrollo de Habilidades Sociales para la Alta Dirección,8,4.0,8BM1,M,ESPARZA SALINAS ROCÍO,12:00-13:30,,12:00-13:30,,,IA
IIA801,Gestión Empresarial,8,5.0,8BM2,M,MENDOZA MACIAS ELBA,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA802,Trabajo Terminal II,8,4.0,8BM2,M,JUAREZ MARTINEZ GENARO,,,,,10:30-12:00,IA
IIA802,Trabajo Terminal II,8,4.0,8BM2,M,SOTO RAMOS MANUEL ALEJANDRO,,,,,08:30-10:00,IA
IIA803,Estancia Profesional,8,10.0,8BM2,M,COORDINACION ACADEMICA,12:00-13:30,,12:00-13:30,,,IA
IIA804,Desarrollo de Habilidades Sociales para la Alta Dirección,8,4.0,8BM2,M,LOYOLA ESPINOSA ARACELI,10:30-12:00,,,10:30-12:00,,IA
IIA802,Trabajo Terminal II,8,4.0,8BM10,M,RESENDIZ MUÑOZ ROCIO,,,,,,IA
IIA801,Gestión Empresarial,8,5.0,8BV1,V,VILLEGAS NAVARRETE SONIA,18:30-20:00,16:30-18:00,,18:30-20:00,,IA
IIA802,Trabajo Terminal II,8,4.0,8BV1,V,LINARES VALLEJO ERICK EUGENIO,,,,,15:00-16:30,IA
IIA802,Trabajo Terminal II,8,4.0,8BV1,V,MORALES GUITRON SANDRA LUZ,20:00-21:30,,,20:00-21:30,,IA
IIA802,Trabajo Terminal II,8,4.0,8BV1,V,OLALDE MOGOLLAN NORMA,13:30-15:00,,,13:30-15:00,,IA
IIA803,Estancia Profesional,8,10.0,8BV1,V,COORDINACION ACADEMICA,,18:30-20:00,,,18:30-20:00,IA
IIA804,Desarrollo de Habilidades Sociales para la Alta Dirección,8,4.0,8BV1,V,GUTIERREZ ROJAS ALMA,15:00-16:30,,,15:00-16:30,,IA
IIA802,Trabajo Terminal II,8,4.0,8BV10,V,VIVEROS VELA KARINA,,,,,,IA
IIA802,Trabajo Terminal II,8,4.0,8BV11,V,RAMIREZ MARTINEZ ELIA TZINDEJHE,,,,,,IA
