Clave,Asignatura,Semestre,Creditos,Grupo,Turno,Profesor,Lun,Mar,Mie,Jue,Vie,Carrera
LCD703,Trabajo Terminal I,7,12.0,7AM1,M,CRUZ MEZA MARIA ELENA,,07:00-08:30,07:00-08:30,,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AM1,M,MUJICA ASCENCIO CESAR,,,10:30-12:00,,10:30-12:00,LCD
LCD704,Administración de Proyectos de TI,7,10.5,7AM1,M,GUZMAN FLORES JESSIE PAULINA,10:30-12:00,08:30-10:00,,10:30-12:00,13:30-15:00,LCD
LCD705,Temas Selectos de Aprendizaje Profundo,7,7.5,7AM1,M,GARCIA SALAS HORACIO ALBERTO,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD706,Protección de Datos,7,7.5,7AM1,M,RODRIGUEZ SARABIA TANIA,,12:00-13:30,13:30-15:00,,12:00-13:30,LCD
LCD703,Trabajo Terminal I,7,12.0,7AM21,M,CORTEZ DUARTE NIDIA ASUNCIÓN,,,,,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AM22,M,SANCHEZ GARCIA LUZ MARIA,,,,,,LCD
LCD701,Big Data,7,7.5,7AV1,V,SANCHEZ BRITO MIGUEL,,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD702,Modelos Econométricos,7,7.5,7AV1,V,REYES VERA ABDIEL,16:30-18:00,,16:30-18:00,16:30-18:00,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AV1,V,CRUZ TORRES BENJAMIN,,16:30-18:00,,18:30-20:00,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AV1,V,TESTA NAVA ALEXIS,,12:00-13:30,,,12:00-13:30,LCD
LCD704,Administración de Proyectos de TI,7,10.5,7AV1,V,PALACIOS SOLANO ROCIO,15:00-16:30,,13:30-15:00,15:00-16:30,16:30-18:00,LCD
LCD707,Temas Selectos de Inteligencia Artificial,7,7.5,7AV1,V,ORTIZ CASTILLO MARCO ANTONIO,,18:30-20:00,18:30-20:00,,18:30-20:00,LCD
LCD708,Innovación y Emprendimiento Tecnológico,7,7.5,7AV1,V,PAREDES CADENA MYRIAM NOEMI,13:30-15:00,13:30-15:00,,13:30-15:00,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AV20,V,TIRADO LULE JUDITH MARGARITA,,,,,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AV21,V,CRUZ MEZA MARIA ELENA,,,,,,LCD
LCD703,Trabajo Terminal I,7,12.0,7AV21,V,MUJICA ASCENCIO CESAR,,,,,,LCD
LCD801,Desarrollo de Habilidades Sociales para la Alta Dirección,8,6.0,8AM1,M,RAMIREZ MARTINEZ ELIA TZINDEJHE,12:00-13:30,,12:00-13:30,12:00-13:30,,LCD
LCD802,Gestión Empresarial,8,10.5,8AM1,M,RODRIGUEZ ORDAZ MARISOL,10:30-12:00,08:30-10:00,10:30-12:00,10:30-12:00,,LCD
LCD803,Trabajo Terminal II,8,12.0,8AM1,M,ALMAZAN FARFAN ROCIO,,07:00-08:30,,,07:00-08:30,LCD
LCD803,Trabajo Terminal II,8,12.0,8AM1,M,PEREDO VALDERRAMA RUBEN,,,08:30-10:00,08:30-10:00,,LCD
LCD803,Trabajo Terminal II,8,12.0,8AM10,M,JUAREZ MARTINEZ GENARO,,,,,,LCD
LCD804,Estancia Profesional,8,4.5,8AM1,M,COORDINACION ACADEMICA,,13:30-15:00,,,13:30-15:00,LCD
LCD801,Desarrollo de Habilidades Sociales para la Alta Dirección,8,6.0,8AV1,V,DORANTES CORDERO MARTHA MARGARITA,15:00-16:30,,,15:00-16:30,16:30-18:00,LCD
LCD802,Gestión Empresarial,8,10.5,8AV1,V,FLORES DELGADO RAQUEL,18:30-20:00,16:30-18:00,18:30-20:00,18:30-20:00,,LCD
LCD803,Trabajo Terminal II,8,12.0,8AV1,V,ARZATE GORDILLO JACQUELINE,,18:30-20:00,,,18:30-20:00,LCD
LCD804,Estancia Profesional,8,4.5,8AV1,V,COORDINACION ACADEMICA,,18:30-20:00,,,18:30-20:00,LCD
